Date,CNY
2020-10-30,7.8158
2020-10-29,7.8531
2020-10-28,7.8845
2020-10-27,7.9345
2020-10-26,7.9342
2020-10-23,7.9157
2020-10-22,7.898
2020-10-21,7.8879
2020-10-20,7.8918
2020-10-19,7.8767
2020-10-16,7.8639
2020-10-15,7.8756
2020-10-14,7.9092
2020-10-13,7.9388
2020-10-12,7.9578
2020-10-09,7.9047
2020-10-08,7.9894
2020-10-07,7.9934
2020-10-06,8.0111
2020-10-05,8.0128
2020-10-02,7.9656
2020-10-01,7.9805
2020-09-30,7.972
2020-09-29,7.9777
2020-09-28,7.9510000000000005
2020-09-25,7.9451
2020-09-24,7.9527
2020-09-23,7.9433
2020-09-22,7.955
2020-09-21,7.9992
2020-09-18,8.0146
2020-09-17,7.9861
2020-09-16,8.0229
2020-09-15,8.0526
2020-09-14,8.0987
2020-09-11,8.1043
2020-09-10,8.1022
2020-09-09,8.0584
2020-09-08,8.0658
2020-09-07,8.0789
2020-09-04,8.1006
2020-09-03,8.0802
2020-09-02,8.0976
2020-09-01,8.1739
2020-08-31,8.1711
2020-08-28,8.1749
2020-08-27,8.1323
2020-08-26,8.1262
2020-08-25,8.1671
2020-08-24,8.1897
2020-08-21,8.1483
2020-08-20,8.1985
2020-08-19,8.2472
2020-08-18,8.2407
2020-08-17,8.2262
2020-08-14,8.21
2020-08-13,8.2187
2020-08-12,8.1758
2020-08-11,8.1857
2020-08-10,8.2003
2020-08-07,8.2238
2020-08-06,8.2325
2020-08-05,8.2277
2020-08-04,8.2157
2020-08-03,8.19
2020-07-31,8.2637
2020-07-30,8.224
2020-07-29,8.2067
2020-07-28,8.2041
2020-07-27,8.2344
2020-07-24,8.1453
2020-07-23,8.1057
2020-07-22,8.0999
2020-07-21,7.9982
2020-07-20,7.9992
2020-07-17,7.9975
2020-07-16,7.9861
2020-07-15,7.9975
2020-07-14,7.9805
2020-07-13,7.9309
2020-07-10,7.8952
2020-07-09,7.922999999999999
2020-07-08,7.9163
2020-07-07,7.9287
2020-07-06,7.9498
2020-07-03,7.931
2020-07-02,7.9759
2020-07-01,7.9151
2020-06-30,7.9219
2020-06-29,7.9841
2020-06-26,7.9298
2020-06-25,7.9206
2020-06-24,7.9772
2020-06-23,7.9944
2020-06-22,7.9348
2020-06-19,7.9332
2020-06-18,7.9545
2020-06-17,7.9602
2020-06-16,8.0041
2020-06-15,7.984
2020-06-12,7.999
2020-06-11,8.025
2020-06-10,8.0305
2020-06-09,8.0025
2020-06-08,7.9836
2020-06-05,8.0349
2020-06-04,8.0066
2020-06-03,7.9599
2020-06-02,7.9413
2020-06-01,7.9327
2020-05-29,7.9456
2020-05-28,7.8804
2020-05-27,7.8682
2020-05-26,7.8269
2020-05-25,7.7856
2020-05-22,7.7797
2020-05-21,7.8153
2020-05-20,7.7806
2020-05-19,7.7816
2020-05-18,7.7068
2020-05-15,7.6759
2020-05-14,7.6655
2020-05-13,7.7102
2020-05-12,7.6933
2020-05-11,7.6783
2020-05-08,7.6719
2020-05-07,7.6427
2020-05-06,7.6707
2020-05-05,7.6575
2020-05-04,7.7275
2020-04-30,7.6665
2020-04-29,7.6723
2020-04-28,7.6977
2020-04-27,7.686
2020-04-24,7.6455
2020-04-23,7.6259
2020-04-22,7.6964
2020-04-21,7.6888
2020-04-20,7.6819
2020-04-17,7.6821
2020-04-16,7.6991
2020-04-15,7.6998
2020-04-14,7.7366
2020-04-09,7.6709
2020-04-08,7.6818
2020-04-07,7.6802
2020-04-06,7.6519
2020-04-03,7.6476
2020-04-02,7.7387
2020-04-01,7.7653
2020-03-31,7.7784
2020-03-30,7.8337
2020-03-27,7.7894
2020-03-26,7.7675
2020-03-25,7.6844
2020-03-24,7.6549
2020-03-23,7.6385
2020-03-20,7.5919
2020-03-19,7.6849
2020-03-18,7.6925
2020-03-17,7.7095
2020-03-16,7.8351
2020-03-13,7.7587
2020-03-12,7.8877
2020-03-11,7.8801
2020-03-10,7.9239999999999995
2020-03-09,7.96
2020-03-06,7.8511
2020-03-05,7.7579
2020-03-04,7.7014
2020-03-03,7.7572
2020-03-02,7.7469
2020-02-28,7.6662
2020-02-27,7.6813
2020-02-26,7.6329
2020-02-25,7.6045
2020-02-24,7.6102
2020-02-21,7.5945
2020-02-20,7.5787
2020-02-19,7.5538
2020-02-18,7.5732
2020-02-17,7.5645
2020-02-14,7.5757
2020-02-13,7.5889999999999995
2020-02-12,7.6073
2020-02-11,7.6025
2020-02-10,7.6471
2020-02-07,7.6711
2020-02-06,7.6676
2020-02-05,7.6858
2020-02-04,7.7298
2020-02-03,7.7681
2020-01-31,7.6664
2020-01-30,7.6504
2020-01-29,7.631
2020-01-28,7.6338
2020-01-27,7.6477
2020-01-24,7.6509
2020-01-23,7.6897
2020-01-22,7.653
2020-01-21,7.6732
2020-01-20,7.6112
2020-01-17,7.6186
2020-01-16,7.6837
2020-01-15,7.6746
2020-01-14,7.6536
2020-01-13,7.6697
2020-01-10,7.6773
2020-01-09,7.7011
2020-01-08,7.7184
2020-01-07,7.7562
2020-01-06,7.8049
2020-01-03,7.7712
2020-01-02,7.7946
2019-12-31,7.8205
2019-12-30,7.8175
2019-12-27,7.8025
2019-12-24,7.7643
2019-12-23,7.7652
2019-12-20,7.7764
2019-12-19,7.7931
2019-12-18,7.7783
2019-12-17,7.809
2019-12-16,7.8025
2019-12-13,7.79
2019-12-12,7.8374
2019-12-11,7.796
2019-12-10,7.7968
2019-12-09,7.796
2019-12-06,7.7993
2019-12-05,7.8125
2019-12-04,7.8149
2019-12-03,7.814
2019-12-02,7.7625
2019-11-29,7.7172
2019-11-28,7.7416
2019-11-27,7.7353
2019-11-26,7.7576
2019-11-25,7.7454
2019-11-22,7.7834
2019-11-21,7.7933
2019-11-20,7.7786
2019-11-19,7.7829
2019-11-18,7.7629
2019-11-15,7.7343
2019-11-14,7.721
2019-11-13,7.7281
2019-11-12,7.7187
2019-11-11,7.7404
2019-11-08,7.7115
2019-11-07,7.7271
2019-11-06,7.7604
